Ano,Codigo do IBGE,Município,Sigla UF,População Total Residente,População Urbana Residente,População total atendida com abastecimento de água,População urbana atendida com rede de abastecimento de água,Atendimento da população urbana com rede de abastecimento de água,Atendimento da população total com rede de abastecimento de água,População total atendida com esgotamento sanitário,População urbana atendida com rede de esgotamento sanitário,Extensão de rede de distribuição de água,Extensão da rede pública de esgotamento sanitário,Quantidade de ligações ativas de água,Quantidade de ligações ativas de esgoto,Volume de água produzido,Volume de água tratada em ETAs,Volume de água consumido,Volume de água tratada por simples desinfecção,Volume de água tratada importado,Volume de água tratada exportado,Volume de água fluoretada,Extensão de rede de distribuição de água,Volume total de esgoto coletado,Volume total de esgoto tratado ,Volume total de esgoto bruto exportado ,Volume total de esgoto bruto importado para tratamento ,Extensão da rede pública de esgotamento sanitário,Atendimento da população urbana com rede coletora de esgoto,Esgoto tratado referido ao esgoto coletado,Perda na Distribuição de Água,Índice de Macromedição,Índice de Hidrometração,Investimento Total (prestador + município + estado),Investimento per Capita,População Rural Residente,Quantidade de domicílios totais,Quantidade de domicílios urbanos,Quantidade de domicílios rurais,Área do município,Cobertura da população total com coleta de resíduos sólidos domiciliares,Cobertura da população urbana com coleta de resíduos sólidos domiciliares,Cobertura da população rural com coleta de resíduos sólidos domiciliares,Cobertura da população urbana com coleta direta de resíduos sólidos,Cobertura da população total com coleta seletiva de resíduos sólidos,Cobertura da população urbana com coleta seletiva direta de resíduos sólidos,Incidência do transbordo de resíduos sólidos urbanos,Capacidade média utilizada dos veículos motorizados na coleta de RSU,Quantidade média de pontos de entrega voluntária (PEV) de recicláveis por mil habitantes,Massa média per capita de resíduos sólidos urbanos coletados,Massa média per capita de resíduos sólidos domiciliares coletados,Massa média per capita de resíduos de limpeza urbana coletados,Massa média per capita de resíduos domiciliares coletados na coleta seletiva,Massa média per capita de resíduos domiciliares secos e orgânicos recuperados,Desempenho da coleta seletiva,Disposição final inadequada de resíduos sólidos urbanos,Recuperação de recicláveis secos em relação à composição gravimétrica,Recuperação de recicláveis orgânicos em relação à composição gravimétrica,Recuperação de recicláveis secos e orgânicos em relação ao total coletado,Recuperação de recicláveis secos em relação ao total coletado,Recuperação de recicláveis orgânicos em relação ao total coletado
,,,,Habitantes,Habitantes,Habitantes,Habitantes,Percentual,Percentual,Habitantes,Habitantes,Km,km,Ligações,Ligações,1.000 m³/ano,1.000 m³/ano,1.000 m³/ano,1.000 m³/ano,1.000 m³/ano,1.000 m³/ano,1.000 m³/ano,Km,1.000 m³/ano,1.000 m³/ano,1.000 m³/ano,1.000 m³/ano,km,Percentual,Percentual,Percentual,Percentual,Percentual,R$/ano,R$/hab.ano,Habitantes,Domicílios,Domicílios,Domicílios,Km²,Percentual,Percentual,Percentual,Percentual,Percentual,Percentual,Percentual,Toneladas/veículo.ano,Unidade/1.000 habitantes,Kg/hab.dia,Kg/hab.dia,Kg/hab.dia,Kg/hab.ano,Kg/hab.ano,Percentual,Percentual,Percentual,Percentual,Percentual,Percentual,Percentual
ano,id_municipio,nome_municipio,sigla_uf,populacao_total_residente,populacao_urbana,populacao_atendida_agua,populacao_urbana_atendida_agua,indice_atendimento_urbano_agua,indice_atendimento_total_agua,populacao_atentida_esgoto,populacao_urbana_atendida_esgoto,extensao_rede_agua,extensao_rede_esgoto,quantidade_ligacao_ativa_agua,quantidade_ligacao_ativa_esgoto,volume_agua_produzido,volume_agua_tratada_eta,volume_agua_consumido,volume_agua_tratada_desinfeccao,volume_agua_tratada_importado,volume_agua_tratada_exportado,volume_agua_fluoretada,indice_extensao_agua_ligacao,volume_esgoto_coletado,volume_esgoto_tratado,volume_esgoto_bruto_exportado,volume_esgoto_importado,indice_extensao_esgoto_ligacao,indice_coleta_esgoto,indice_tratamento_esgoto,indice_perda_distribuicao_agua,indice_macromedicao,indice_hidrometracao,investimento_total,investimento_per_capita,populacao_rural,domicilios_totais,domicilios_urbanos,domicilios_rurais,area_municipio_km2,cobertura_residuos_solidos,cobertura_residuos_urbana,cobertura_residuos_rural,cobertura_residuos_urbana_direta,cobertura_coleta_seletiva_total,cobertura_coleta_seletiva_urbana,incidencia_transbordo_rsu,capacidade_veiculos_coleta_rsu,pontos_entrega_voluntaria_pev,massa_per_capita_rsu_coletado,massa_per_capita_rsd_coletado,massa_per_capita_limpeza_urbana,massa_per_capita_coleta_seletiva,massa_per_capita_recuperados,desempenho_coleta_seletiva,disposicao_final_inadequada_rsu,recuperacao_reciclaveis_secos_gravimetrica,recuperacao_reciclaveis_organicos_gravimetrica,recuperacao_total_reciclaveis,recuperacao_reciclaveis_secos,recuperacao_reciclaveis_organicos
1995,3300407,Barra Mansa,RJ,,164495,167000,,"101,50",,126000,,260,200,25600,23100,13505,13505,7300,3650,,,,"10,20",6205,0,,,"8,66","45,95",0,,0,"90,62",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,3303906,Petrópolis,RJ,,257674,153000,,"59,40",,118000,,230,148,24511,20049,14965,13140,7300,11315,,,,"9,40",8395,0,,,"7,38","56,10",0,,0,"44,55",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,3304557,Rio de Janeiro,RJ,,5606497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,3300407,Barra Mansa,RJ,,162495,169000,,104,,65200,,263,205,25945,23422,13140,13140,8030,730,,,,"10,10",6205,0,,,"8,75","47,22",0,,0,"91,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,3300456,Belford Roxo,RJ,,399319,380000,,"95,20",,5000,,,89,70373,1377,40880,35405,32021,5475,,,,,376,,,,"64,63","0,92",,,100,"2,22",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,3300506,Bom Jardim,RJ,,10726,9000,,"83,90",,,,,,1695,,"547,50",548,263,,,,,,,,,,,,,,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,3301702,Duque de Caxias,RJ,,710624,451000,,"63,50",,,,,65,798877,11,126290,108770,36522,17520,,,,,2920,1460,,,"5.909,09","2,31",50,,100,"1,10",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,3302700,Maricá,RJ,,50407,15000,,"29,80",,2000,,,2,3814,601,1095,1095,522,,,,,,,,,,"3,33",,,,100,"82,91",,,,,,,,,,,,,,,,,,,,,,,,,,,,
