ano,id_cid_principal,doenca,categoria,id_municipio_paciente,municipio_paciente,populacao_municipio_paciente,id_municipio_estabelecimento_aih,municipio_estabelecimento_aih,populacao_municipio_estabelecimento_aih,total_internacoes
2024,A90,Dengue,Vetor,3303500,Nova Iguaçu,843046,3303500,Nova Iguaçu,843046,3970
2024,A90,Dengue,Vetor,3302700,Maricá,211986,3302700,Maricá,211986,2878
2024,A90,Dengue,Vetor,3300100,Angra dos Reis,179120,3300100,Angra dos Reis,179120,2366
2023,A90,Dengue,Vetor,3305000,São João da Barra,36573,3305000,São João da Barra,36573,1291
2024,A91,Dengue Hemorrágica,Vetor,3302700,Maricá,211986,3302700,Maricá,211986,1135
2023,A90,Dengue,Vetor,3303500,Nova Iguaçu,785867,3303500,Nova Iguaçu,785867,1022
2024,A09,Diarreia e Gastroenterite,Hídrica,3304300,Rio Bonito,59113,3304300,Rio Bonito,59113,716
2024,A91,Dengue Hemorrágica,Vetor,3300100,Angra dos Reis,179120,3300100,Angra dos Reis,179120,713
2024,A90,Dengue,Vetor,3301900,Itaboraí,240040,3301900,Itaboraí,240040,673
2023,A09,Diarreia e Gastroenterite,Hídrica,3302700,Maricá,197277,3302700,Maricá,197277,651
2024,A09,Diarreia e Gastroenterite,Hídrica,3302700,Maricá,211986,3302700,Maricá,211986,615
2014,A09,Diarreia e Gastroenterite,Hídrica,3303500,Nova Iguaçu,806177,3303500,Nova Iguaçu,806177,574
2015,A90,Dengue,Vetor,3300100,Angra dos Reis,188276,3300100,Angra dos Reis,188276,560
2023,A09,Diarreia e Gastroenterite,Hídrica,3304300,Rio Bonito,56276,3304300,Rio Bonito,56276,536
2014,A09,Diarreia e Gastroenterite,Hídrica,3304300,Rio Bonito,57284,3304300,Rio Bonito,57284,459
2022,A09,Diarreia e Gastroenterite,Hídrica,3304300,Rio Bonito,56276,3304300,Rio Bonito,56276,454
2024,A09,Diarreia e Gastroenterite,Hídrica,3303500,Nova Iguaçu,843046,3303500,Nova Iguaçu,843046,417
2015,A90,Dengue,Vetor,3304110,Porto Real,18266,3304110,Porto Real,18266,378
2024,A90,Dengue,Vetor,3305000,São João da Barra,38708,3305000,São João da Barra,38708,377
2023,A09,Diarreia e Gastroenterite,Hídrica,3301900,Itaboraí,224267,3301900,Itaboraí,224267,373
2018,A09,Diarreia e Gastroenterite,Hídrica,3304300,Rio Bonito,59814,3304300,Rio Bonito,59814,366
2024,A09,Diarreia e Gastroenterite,Hídrica,3301900,Itaboraí,240040,3301900,Itaboraí,240040,355
2024,A91,Dengue Hemorrágica,Vetor,3303500,Nova Iguaçu,843046,3303500,Nova Iguaçu,843046,351
2016,A09,Diarreia e Gastroenterite,Hídrica,3304300,Rio Bonito,57963,3304300,Rio Bonito,57963,329
2014,A09,Diarreia e Gastroenterite,Hídrica,3300100,Angra dos Reis,184940,3300100,Angra dos Reis,184940,325
2019,A09,Diarreia e Gastroenterite,Hídrica,3300100,Angra dos Reis,203785,3300100,Angra dos Reis,203785,318
2024,A91,Dengue Hemorrágica,Vetor,3301900,Itaboraí,240040,3301900,Itaboraí,240040,312
2014,A09,Diarreia e Gastroenterite,Hídrica,3301900,Itaboraí,227168,3301900,Itaboraí,227168,303
