ano,id_municipio,Município,Sigla UF,População Total Residente,População Rural Residente,População Urbana Residente,População total atendida com abastecimento de água,População urbana atendida com rede de abastecimento de água,Atendimento da população urbana com rede de abastecimento de água,Atendimento da população total com rede de abastecimento de água,População total atendida com esgotamento sanitário,População urbana atendida com rede de esgotamento sanitário,Extensão de rede de distribuição de água,Extensão da rede pública de esgotamento sanitário,Quantidade de ligações ativas de água,Quantidade de ligações ativas de esgoto,Volume de água produzido,Volume de água tratada em ETAs,Volume de água consumido,Volume de água tratada por simples desinfecção,Volume de água tratada importado,Volume de água tratada exportado,Volume de água fluoretada,Extensão de rede de distribuição de água.1,Volume total de esgoto coletado,Volume total de esgoto tratado ,Volume total de esgoto bruto exportado ,Volume total de esgoto bruto importado para tratamento ,Extensão da rede pública de esgotamento sanitário.1,Atendimento da população urbana com rede coletora de esgoto,Esgoto tratado referido ao esgoto coletado,Perda na Distribuição de Água,Índice de Macromedição,Índice de Hidrometração,Investimento Total (prestador + município + estado),Investimento per Capita,Quantidade de domicílios totais,Quantidade de domicílios urbanos,Quantidade de domicílios rurais,Área do município,Cobertura da população total com coleta de resíduos sólidos domiciliares,Cobertura da população urbana com coleta de resíduos sólidos domiciliares,Cobertura da população rural com coleta de resíduos sólidos domiciliares,Cobertura da população urbana com coleta direta de resíduos sólidos,Cobertura da população total com coleta seletiva de resíduos sólidos,Cobertura da população urbana com coleta seletiva direta de resíduos sólidos,Incidência do transbordo de resíduos sólidos urbanos,Capacidade média utilizada dos veículos motorizados na coleta de RSU,Quantidade média de pontos de entrega voluntária (PEV) de recicláveis por mil habitantes,Massa média per capita de resíduos sólidos urbanos coletados,Massa média per capita de resíduos sólidos domiciliares coletados,Massa média per capita de resíduos de limpeza urbana coletados,Massa média per capita de resíduos domiciliares coletados na coleta seletiva,Massa média per capita de resíduos domiciliares secos e orgânicos recuperados,Desempenho da coleta seletiva,Disposição final inadequada de resíduos sólidos urbanos,Recuperação de recicláveis secos em relação à composição gravimétrica,Recuperação de recicláveis orgânicos em relação à composição gravimétrica,Recuperação de recicláveis secos e orgânicos em relação ao total coletado,Recuperação de recicláveis secos em relação ao total coletado,Recuperação de recicláveis orgânicos em relação ao total coletado
2024,3300100,Angra dos Reis,RJ,184940,6787,178153,116428.0,164070.0,93.72,92.0,116428.0,112380.0,200.0,700.0,46128.0,68078.0,17962.0,11310.0,13641.0,66.0,0.0,0.0,8.99,200.0,6342.0,2763.0,0.0,0.0,700.0,64.19,43.57,21.27,0.0,73.89,,,98196.0,95978.0,2218.0,813.42,100.0,100.0,100.0,100.0,0.0,0.0,0.0,4226.68,0.05,2.0,0.92,1.11,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
2024,3300159,Aperibé,RJ,10882,1422,9460,5659.0,10480.0,100.0,100.0,5659.0,5659.0,67.0,28.12,3717.0,2094.0,1141.0,1141.0,627.0,0.0,178.0,143.0,1141.0,67.0,94.0,94.0,0.0,0.0,28.12,54.0,100.0,40.56,86.5,96.05,,,5506.0,5053.0,453.0,94.54,100.0,100.0,100.0,100.0,0.0,0.0,0.0,596.65,0.0,0.57,0.33,0.26,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
2024,3300209,Araruama,RJ,120948,5963,114985,103143.0,132235.0,100.0,100.0,103143.0,103143.0,1304.17,129.72,62350.0,52974.0,22996.0,22996.0,10091.0,0.0,0.0,6457.97,22996.0,1304.17,5468.0,5468.0,0.0,0.0,129.72,78.0,100.0,22.15,100.0,99.97,,,86510.0,83032.0,3478.0,638.28,100.0,100.0,100.0,100.0,0.0,0.0,0.0,11956.07,0.0,3.33,2.66,0.7,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
2024,3300225,Areal,RJ,11879,1560,10319,,11251.0,100.0,100.0,,,,,2866.0,,801.0,771.0,700.0,20.0,0.0,0.0,0.0,32.0,,,,,,,,8.74,87.39,95.77,,,5969.0,5508.0,461.0,110.72,100.0,100.0,100.0,100.0,84.16,83.44,0.0,5128.25,1.23,2.3,1.55,0.81,27.6,27.59,4.1,0.0,,,2.77,2.77,0.0
2024,3300233,Armação dos Búzios,RJ,30439,0,30439,38198.0,41593.0,98.0,98.0,38198.0,38198.0,32.0,67.02,18686.0,18686.0,6731.46,6731.0,3740.0,0.0,0.0,0.0,6731.46,347.75,4138.0,4138.0,0.0,0.0,67.02,90.0,100.0,43.9,123.66,99.42,,,28153.0,28153.0,0.0,70.98,100.0,100.0,,100.0,0.0,0.0,0.0,1900.65,0.0,2.45,1.87,0.58,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
2024,3300258,Arraial do Cabo,RJ,28866,0,28866,29515.0,32138.0,98.0,98.0,29515.0,29515.0,347.75,36.4,15472.0,15472.0,3136.52,3137.0,1767.0,0.0,0.0,0.0,3136.52,221.89,2809.0,2809.0,0.0,0.0,36.4,90.0,100.0,37.59,100.09,99.73,,,27636.0,27636.0,0.0,152.11,100.0,100.0,,100.0,0.0,0.0,0.0,5318.18,0.09,2.22,1.99,0.23,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
2024,3300308,Barra do Piraí,RJ,96568,2874,93694,66932.0,83593.0,87.21,,66932.0,66932.0,221.89,110.0,27406.0,21801.0,8298.62,8299.0,2176.0,0.0,0.0,0.0,0.0,433.05,1168.0,0.0,0.0,0.0,110.0,69.83,0.0,15.82,0.0,44.5,,,45100.0,43887.0,1213.0,584.61,100.0,100.0,100.0,74.87,5.08,5.22,0.0,940.38,0.22,0.55,0.44,0.11,160.0,146.0,5.02,0.0,,,3.7,3.7,0.0
2024,3300407,Barra Mansa,RJ,179697,1637,178060,145548.0,175622.0,97.71,77.54,145548.0,145163.0,433.05,587.58,45887.0,36351.0,15177.8,15056.0,8848.0,122.08,1553.81,0.0,15734.78,784.81,8696.0,193.0,0.0,0.0,587.58,80.76,2.21,46.74,9.29,99.83,,,79682.0,78829.0,853.0,547.13,100.0,100.0,100.0,100.0,64.3,65.0,0.0,3717.75,0.0,0.73,0.58,0.15,9.89,7.91,2.98,0.0,0.06,0.0,1.91,1.91,0.0
2024,3300456,Belford Roxo,RJ,479386,0,479386,39511.0,502715.0,97.0,95.11,39511.0,39511.0,784.81,156.0,113136.0,5420.0,0.0,,26542.0,,46548.0,0.0,,905.0,2654.0,2654.0,0.0,5086.0,156.0,7.62,100.0,37.73,,27.98,,,212767.0,212767.0,0.0,78.99,100.0,100.0,,92.61,0.0,0.0,0.0,4907.06,0.0,1.25,0.55,0.69,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
2024,3300506,Bom Jardim,RJ,26126,10382,15744,,16400.0,71.21,89.49,,,905.0,,5573.0,,1198.61,970.0,914.0,228.41,0.0,0.0,78.15,92.49,,,,,,,,21.75,100.0,99.94,,,14771.0,11529.0,3242.0,382.43,100.0,100.0,100.0,74.27,57.52,74.27,0.0,1231.37,0.0,0.68,0.68,0.01,14.01,11.11,3.27,0.0,,,2.57,2.57,0.0
