ano,id_municipio,nome_municipio,pib_total_mil_reais,populacao_estimada,pib_per_capita
2002,3300100,Angra dos Reis - RJ,2296837,126333,18180.82
2003,3300100,Angra dos Reis - RJ,2223041,129621,17150.32
2004,3300100,Angra dos Reis - RJ,3229372,136525,23654.07
2005,3300100,Angra dos Reis - RJ,3603919,140345,25679.00
2006,3300100,Angra dos Reis - RJ,4008492,144137,27810.29
2008,3300100,Angra dos Reis - RJ,5499406,164191,33493.96
2009,3300100,Angra dos Reis - RJ,5794724,168664,34356.61
2011,3300100,Angra dos Reis - RJ,6786692,173370,39145.71
2012,3300100,Angra dos Reis - RJ,6722197,177101,37956.86
2013,3300100,Angra dos Reis - RJ,6378172,181486,35144.15
2014,3300100,Angra dos Reis - RJ,7756628,184940,41941.32
2015,3300100,Angra dos Reis - RJ,7600989,188276,40371.52
2016,3300100,Angra dos Reis - RJ,9294025,191504,48531.75
2017,3300100,Angra dos Reis - RJ,10106295,194619,51928.61
2018,3300100,Angra dos Reis - RJ,8942168,200407,44620.04
2019,3300100,Angra dos Reis - RJ,9828660,203785,48230.54
2020,3300100,Angra dos Reis - RJ,10397760,207044,50220.05
2021,3300100,Angra dos Reis - RJ,11194157,210171,53262.14
2002,3300159,Aperibé - RJ,59466,8377,7098.72
2003,3300159,Aperibé - RJ,66750,8544,7812.50
2004,3300159,Aperibé - RJ,46443,8893,5222.42
2005,3300159,Aperibé - RJ,49246,9087,5419.39
2006,3300159,Aperibé - RJ,52936,9279,5704.93
2008,3300159,Aperibé - RJ,71203,9420,7558.70
2009,3300159,Aperibé - RJ,80440,9556,8417.75
2011,3300159,Aperibé - RJ,106596,10382,10267.39
2012,3300159,Aperibé - RJ,113862,10545,10797.72
2013,3300159,Aperibé - RJ,134907,10736,12565.85
2014,3300159,Aperibé - RJ,142621,10882,13106.14
2015,3300159,Aperibé - RJ,156723,11023,14217.82
2016,3300159,Aperibé - RJ,167714,11160,15028.14
2017,3300159,Aperibé - RJ,171697,11292,15205.19
2018,3300159,Aperibé - RJ,181569,11612,15636.32
2019,3300159,Aperibé - RJ,208718,11759,17749.64
2020,3300159,Aperibé - RJ,223026,11901,18740.11
2021,3300159,Aperibé - RJ,249119,12036,20697.82
2002,3300209,Araruama - RJ,544748,87806,6204.00
2003,3300209,Araruama - RJ,564494,90128,6263.25
2004,3300209,Araruama - RJ,636247,95003,6697.13
2005,3300209,Araruama - RJ,694029,97701,7103.60
2006,3300209,Araruama - RJ,799175,100378,7961.65
2008,3300209,Araruama - RJ,1021863,107285,9524.75
2009,3300209,Araruama - RJ,1187873,109705,10827.88
2011,3300209,Araruama - RJ,1547325,114250,13543.33
2012,3300209,Araruama - RJ,1815499,116418,15594.66
2013,3300209,Araruama - RJ,2065779,118964,17364.74
2014,3300209,Araruama - RJ,2063934,120948,17064.64
2015,3300209,Araruama - RJ,2251793,122865,18327.38
2016,3300209,Araruama - RJ,2476384,124940,19820.59
2017,3300209,Araruama - RJ,2515123,126742,19844.43
2018,3300209,Araruama - RJ,2676428,130439,20518.62
2019,3300209,Araruama - RJ,3686098,132400,27840.62
2020,3300209,Araruama - RJ,3529276,134293,26280.42
2021,3300209,Araruama - RJ,4234217,136109,31109.02
2002,3300225,Areal - RJ,90322,10254,8808.46
2003,3300225,Areal - RJ,101438,10419,9735.87
2004,3300225,Areal - RJ,120860,10765,11227.12
2005,3300225,Areal - RJ,118120,10957,10780.32
2006,3300225,Areal - RJ,137174,11147,12305.91
2008,3300225,Areal - RJ,167543,11797,14202.17
2009,3300225,Areal - RJ,267172,11982,22297.78
2011,3300225,Areal - RJ,338024,11540,29291.51
2012,3300225,Areal - RJ,356314,11654,30574.40
2013,3300225,Areal - RJ,238990,11785,20279.17
2014,3300225,Areal - RJ,271557,11879,22860.26
2015,3300225,Areal - RJ,294171,11970,24575.69
2016,3300225,Areal - RJ,315905,12058,26198.79
2017,3300225,Areal - RJ,325726,12143,26824.18
2018,3300225,Areal - RJ,315392,12471,25290.03
2019,3300225,Areal - RJ,354392,12572,28188.99
2020,3300225,Areal - RJ,389827,12669,30770.15
2021,3300225,Areal - RJ,427436,12763,33490.25
2002,3300233,Armação dos Búzios - RJ,763414,19818,38521.24
2003,3300233,Armação dos Búzios - RJ,929450,20567,45191.33
2004,3300233,Armação dos Búzios - RJ,1108006,22140,50045.44
2005,3300233,Armação dos Búzios - RJ,1550863,23011,67396.59
2006,3300233,Armação dos Búzios - RJ,1798812,23874,75346.07
2008,3300233,Armação dos Búzios - RJ,2260322,27701,81597.13
2009,3300233,Armação dos Búzios - RJ,1525776,28653,53250.13
2011,3300233,Armação dos Búzios - RJ,2439888,28279,86279.15
2012,3300233,Armação dos Búzios - RJ,3284323,28973,113358.06
2013,3300233,Armação dos Búzios - RJ,3434438,29790,115288.28
2014,3300233,Armação dos Búzios - RJ,3983707,30439,130875.09
2015,3300233,Armação dos Búzios - RJ,2282739,31067,73477.93
2016,3300233,Armação dos Búzios - RJ,1472824,31674,46499.46
2017,3300233,Armação dos Búzios - RJ,1713499,32260,53115.28
2018,3300233,Armação dos Búzios - RJ,2361779,33240,71052.32
2019,3300233,Armação dos Búzios - RJ,2628093,33870,77593.53
2020,3300233,Armação dos Búzios - RJ,2053833,34477,59571.11
2021,3300233,Armação dos Búzios - RJ,2970297,35060,84720.39
2002,3300258,Arraial do Cabo - RJ,260272,24721,10528.38
2003,3300258,Arraial do Cabo - RJ,259153,25113,10319.48
2004,3300258,Arraial do Cabo - RJ,260338,25935,10038.10
2005,3300258,Arraial do Cabo - RJ,667017,26390,25275.37
2006,3300258,Arraial do Cabo - RJ,568086,26842,21164.07
2008,3300258,Arraial do Cabo - RJ,376503,26636,14135.12
2009,3300258,Arraial do Cabo - RJ,337991,26896,12566.59
2011,3300258,Arraial do Cabo - RJ,532429,28010,19008.53
2012,3300258,Arraial do Cabo - RJ,1359114,28295,48033.72
2013,3300258,Arraial do Cabo - RJ,1126464,28627,39349.70
2014,3300258,Arraial do Cabo - RJ,1130032,28866,39147.51
2015,3300258,Arraial do Cabo - RJ,801489,29097,27545.42
2016,3300258,Arraial do Cabo - RJ,664032,29077,22837.02
2017,3300258,Arraial do Cabo - RJ,724388,29304,24719.77
2018,3300258,Arraial do Cabo - RJ,1291857,30096,42924.54
2019,3300258,Arraial do Cabo - RJ,2557039,30349,84254.47
2020,3300258,Arraial do Cabo - RJ,1828909,30593,59781.94
2021,3300258,Arraial do Cabo - RJ,2705450,30827,87762.35
2002,3300308,Barra do Piraí - RJ,662215,90461,7320.45
2003,3300308,Barra do Piraí - RJ,725672,91369,7942.21
2004,3300308,Barra do Piraí - RJ,850369,93277,9116.60
2005,3300308,Barra do Piraí - RJ,808508,94332,8570.88
2006,3300308,Barra do Piraí - RJ,887018,95380,9299.83
2008,3300308,Barra do Piraí - RJ,1146395,102487,11185.76
2009,3300308,Barra do Piraí - RJ,1204623,103833,11601.54
2011,3300308,Barra do Piraí - RJ,1475764,95260,15491.96
2012,3300308,Barra do Piraí - RJ,1665111,95726,17394.55
