"Tabela 6803 - Domicílios particulares permanentes ocupados, por existência de ligação à rede geral de distribuição de água e principal forma de abastecimento de água"
"Variável - Domicílios particulares permanentes ocupados (Unidades)"
"Nível";"Cód.";"Município";"Ano x Existência de ligação à rede geral de distribuição de água e principal forma de abastecimento de água"
"Nível";"Cód.";"Município";"2022"
"Nível";"Cód.";"Município";"Total";"Possui ligação à rede geral e a utiliza como forma principal";"Possui ligação à rede geral, mas utiliza principalmente outra forma";"Possui ligação à rede geral, mas utiliza principalmente outra forma - Poço profundo ou artesiano";"Possui ligação à rede geral, mas utiliza principalmente outra forma - Poço raso, freático ou cacimba";"Possui ligação à rede geral, mas utiliza principalmente outra forma - Fonte, nascente ou mina";"Possui ligação à rede geral, mas utiliza principalmente outra forma - Carro-pipa";"Possui ligação à rede geral, mas utiliza principalmente outra forma - Água da chuva armazenada";"Possui ligação à rede geral, mas utiliza principalmente outra forma - Rios, açudes, córregos, lagos e igarapés";"Possui ligação à rede geral, mas utiliza principalmente outra forma - Outra";"Não possui ligação com a rede geral";"Não possui ligação com a rede geral - Poço profundo ou artesiano";"Não possui ligação com a rede geral - Poço raso, freático ou cacimba";"Não possui ligação com a rede geral - Fonte, nascente ou mina";"Não possui ligação com a rede geral - Carro-pipa";"Não possui ligação com a rede geral - Água da chuva armazenada";"Não possui ligação com a rede geral - Rios, açudes, córregos, lagos e igarapés";"Não possui ligação com a rede geral - Outra"
"MU";"3300100";"Angra dos Reis (RJ)";"62126";"54510";"2220";"242";"18";"1807";"1";"3";"69";"80";"5396";"336";"50";"4841";"6";"8";"82";"73"
"MU";"3300159";"Aperibé (RJ)";"4334";"3761";"141";"117";"23";"-";"-";"-";"-";"1";"432";"356";"47";"26";"-";"-";"-";"3"
"MU";"3300209";"Araruama (RJ)";"48144";"45825";"537";"276";"80";"28";"58";"12";"1";"82";"1782";"970";"538";"85";"87";"17";"5";"80"
"MU";"3300225";"Areal (RJ)";"4231";"3011";"177";"56";"23";"94";"-";"1";"2";"1";"1043";"283";"206";"515";"7";"-";"30";"2"
"MU";"3300233";"Armação dos Búzios (RJ)";"14920";"14086";"282";"121";"12";"2";"112";"3";"2";"30";"552";"220";"15";"10";"235";"6";"1";"65"
"MU";"3300258";"Arraial do Cabo (RJ)";"11542";"9072";"729";"711";"7";"1";"-";"-";"-";"10";"1741";"1474";"27";"31";"174";"10";"1";"24"
"MU";"3300308";"Barra do Piraí (RJ)";"34992";"28217";"3253";"1103";"1631";"258";"237";"2";"7";"15";"3522";"1127";"1176";"812";"353";"4";"20";"30"
"MU";"3300407";"Barra Mansa (RJ)";"62890";"58800";"1599";"920";"412";"217";"20";"2";"19";"9";"2491";"1237";"475";"639";"44";"35";"30";"31"
"MU";"3300456";"Belford Roxo (RJ)";"180893";"134297";"11927";"11046";"330";"25";"53";"16";"33";"424";"34669";"30654";"954";"186";"211";"74";"19";"2571"
"MU";"3300506";"Bom Jardim (RJ)";"10878";"6288";"518";"325";"17";"171";"3";"-";"2";"-";"4072";"1125";"202";"2714";"22";"-";"8";"1"
"MU";"3300605";"Bom Jesus do Itabapoana (RJ)";"13384";"11627";"345";"277";"31";"23";"4";"-";"1";"9";"1412";"563";"110";"693";"25";"1";"9";"11"
"MU";"3300704";"Cabo Frio (RJ)";"82015";"71485";"4552";"3749";"143";"13";"469";"13";"-";"165";"5978";"3895";"545";"38";"1061";"58";"7";"374"
"MU";"3300803";"Cachoeiras de Macacu (RJ)";"22265";"16803";"611";"242";"30";"327";"-";"2";"5";"5";"4851";"1933";"391";"2487";"4";"2";"7";"27"
"MU";"3300902";"Cambuci (RJ)";"5799";"4266";"112";"73";"14";"22";"-";"-";"3";"-";"1421";"593";"207";"570";"1";"-";"8";"42"
