"Tabela 9397 - Moradores em domicílios particulares permanentes ocupados, por existência de banheiro ou sanitário e número de banheiros de uso exclusivo do domicílio e por tipo de esgotamento sanitário, segundo grupos de idade e cor ou raça"
"Variável - Moradores em domicílios particulares permanentes ocupados (Pessoas)"
"Nível";"Cód.";"Unidade da Federação";"Grupo de idade";"Cor ou raça";"Ano x Existência de banheiro ou sanitário e número de banheiros de uso exclusivo do domicílio x Tipo de esgotamento sanitário"
"Nível";"Cód.";"Unidade da Federação";"Grupo de idade";"Cor ou raça";"2022"
"Nível";"Cód.";"Unidade da Federação";"Grupo de idade";"Cor ou raça";"Total";;;;;;;;;;"Tinham banheiro de uso exclusivo do domicílio";;;;;;;;;;"Tinham banheiro de uso exclusivo do domicílio - 1 banheiro";;;;;;;;;;"Tinham banheiro de uso exclusivo do domicílio - 2 banheiros";;;;;;;;;;"Tinham banheiro de uso exclusivo do domicílio - 3 banheiros";;;;;;;;;;"Tinham banheiro de uso exclusivo do domicílio - 4 banheiros ou mais";;;;;;;;;;"Apenas banheiro de uso comum a mais de um domicílio";;;;;;;;;;"Apenas sanitário ou buraco para dejeções, inclusive os localizados no terreno";;;;;;;;;;"Não tinham banheiro nem sanitário"
"Nível";"Cód.";"Unidade da Federação";"Grupo de idade";"Cor ou raça";"Total";"Rede geral, rede pluvial ou fossa ligada à rede";"Rede geral ou pluvial";"Fossa séptica ou fossa filtro ligada à rede";"Fossa séptica ou fossa filtro não ligada à rede";"Fossa rudimentar ou buraco";"Vala";"Rio, lago, córrego ou mar";"Outra forma";"Não tinham banheiro nem sanitário";"Total";"Rede geral, rede pluvial ou fossa ligada à rede";"Rede geral ou pluvial";"Fossa séptica ou fossa filtro ligada à rede";"Fossa séptica ou fossa filtro não ligada à rede";"Fossa rudimentar ou buraco";"Vala";"Rio, lago, córrego ou mar";"Outra forma";"Não tinham banheiro nem sanitário";"Total";"Rede geral, rede pluvial ou fossa ligada à rede";"Rede geral ou pluvial";"Fossa séptica ou fossa filtro ligada à rede";"Fossa séptica ou fossa filtro não ligada à rede";"Fossa rudimentar ou buraco";"Vala";"Rio, lago, córrego ou mar";"Outra forma";"Não tinham banheiro nem sanitário";"Total";"Rede geral, rede pluvial ou fossa ligada à rede";"Rede geral ou pluvial";"Fossa séptica ou fossa filtro ligada à rede";"Fossa séptica ou fossa filtro não ligada à rede";"Fossa rudimentar ou buraco";"Vala";"Rio, lago, córrego ou mar";"Outra forma";"Não tinham banheiro nem sanitário";"Total";"Rede geral, rede pluvial ou fossa ligada à rede";"Rede geral ou pluvial";"Fossa séptica ou fossa filtro ligada à rede";"Fossa séptica ou fossa filtro não ligada à rede";"Fossa rudimentar ou buraco";"Vala";"Rio, lago, córrego ou mar";"Outra forma";"Não tinham banheiro nem sanitário";"Total";"Rede geral, rede pluvial ou fossa ligada à rede";"Rede geral ou pluvial";"Fossa séptica ou fossa filtro ligada à rede";"Fossa séptica ou fossa filtro não ligada à rede";"Fossa rudimentar ou buraco";"Vala";"Rio, lago, córrego ou mar";"Outra forma";"Não tinham banheiro nem sanitário";"Total";"Rede geral, rede pluvial ou fossa ligada à rede";"Rede geral ou pluvial";"Fossa séptica ou fossa filtro ligada à rede";"Fossa séptica ou fossa filtro não ligada à rede";"Fossa rudimentar ou buraco";"Vala";"Rio, lago, córrego ou mar";"Outra forma";"Não tinham banheiro nem sanitário";"Total";"Rede geral, rede pluvial ou fossa ligada à rede";"Rede geral ou pluvial";"Fossa séptica ou fossa filtro ligada à rede";"Fossa séptica ou fossa filtro não ligada à rede";"Fossa rudimentar ou buraco";"Vala";"Rio, lago, córrego ou mar";"Outra forma";"Não tinham banheiro nem sanitário";"Total";"Rede geral, rede pluvial ou fossa ligada à rede";"Rede geral ou pluvial";"Fossa séptica ou fossa filtro ligada à rede";"Fossa séptica ou fossa filtro não ligada à rede";"Fossa rudimentar ou buraco";"Vala";"Rio, lago, córrego ou mar";"Outra forma";"Não tinham banheiro nem sanitário"
"UF";"33";"Rio de Janeiro";"Total";"Total";"15991284";"13397247";"12234229";"1163018";"1089458";"486884";"519923";"437111";"58292";"2369";"15970165";"13387448";"12225398";"1162050";"1087782";"484243";"517882";"435713";"57097";"-";"10467544";"8647831";"7892553";"755278";"659144";"369097";"416054";"332675";"42743";"-";"3936195";"3360753";"3062771";"297982";"299243";"93008";"86998";"85408";"10785";"-";"1149250";"1018379";"942049";"76330";"87035";"16043";"11788";"13672";"2333";"-";"417176";"360485";"328025";"32460";"42360";"6095";"3042";"3958";"1236";"-";"12410";"7818";"7145";"673";"1173";"1200";"1039";"529";"651";"-";"6340";"1981";"1686";"295";"503";"1441";"1002";"869";"544";"-";"2369";"-";"-";"-";"-";"-";"-";"-";"-";"2369"
"UF";"33";"Rio de Janeiro";"Total";"Branca";"6718307";"5733285";"5276655";"456630";"466715";"177504";"154777";"166250";"19220";"556";"6713797";"5730980";"5274516";"456464";"466400";"177030";"154413";"165959";"19015";"-";"3699774";"3085298";"2828668";"256630";"241053";"125041";"118292";"117865";"12225";"-";"1968159";"1707955";"1572852";"135103";"146148";"40535";"30328";"38550";"4643";"-";"750294";"678358";"635144";"43214";"50819";"8007";"4530";"7247";"1333";"-";"295570";"259369";"237852";"21517";"28380";"3447";"1263";"2297";"814";"-";"2787";"1879";"1751";"128";"233";"252";"192";"108";"123";"-";"1167";"426";"388";"38";"82";"222";"172";"183";"82";"-";"556";"-";"-";"-";"-";"-";"-";"-";"-";"556"
"UF";"33";"Rio de Janeiro";"Total";"Preta";"2580603";"2154050";"1965838";"188212";"151105";"80710";"105614";"77402";"11072";"650";"2574676";"2151314";"1963398";"187916";"150723";"79951";"104985";"77032";"10671";"-";"1935071";"1605916";"1468520";"137396";"106296";"64813";"87011";"62239";"8796";"-";"513901";"437425";"396964";"40461";"33997";"12702";"15611";"12638";"1528";"-";"97139";"83913";"76236";"7677";"7587";"1839";"1896";"1658";"246";"-";"28565";"24060";"21678";"2382";"2843";"597";"467";"497";"101";"-";"3282";"2097";"1888";"209";"228";"293";"297";"145";"222";"-";"1995";"639";"552";"87";"154";"466";"332";"225";"179";"-";"650";"-";"-";"-";"-";"-";"-";"-";"-";"650"
"UF";"33";"Rio de Janeiro";"Total";"Amarela";"21775";"19144";"17856";"1288";"1361";"461";"401";"338";"69";"1";"21758";"19134";"17847";"1287";"1360";"457";"401";"337";"69";"-";"9519";"8139";"7451";"688";"560";"241";"302";"233";"44";"-";"7358";"6577";"6199";"378";"441";"170";"65";"85";"20";"-";"3406";"3148";"2998";"150";"187";"39";"22";"9";"1";"-";"1475";"1270";"1199";"71";"172";"7";"12";"10";"4";"-";"11";"6";"5";"1";"1";"3";"-";"1";"-";"-";"5";"4";"4";"-";"-";"1";"-";"-";"-";"-";"1";"-";"-";"-";"-";"-";"-";"-";"-";"1"
"UF";"33";"Rio de Janeiro";"Total";"Parda";"6654246";"5478128";"4962430";"515698";"468563";"227174";"258695";"192742";"27832";"1112";"6644021";"5473432";"4958228";"515204";"467746";"225904";"257650";"192010";"27279";"-";"4812760";"3940382";"3580572";"359810";"310314";"178280";"210104";"152052";"21628";"-";"1442907";"1205621";"1083864";"121757";"118234";"39488";"40919";"34063";"4582";"-";"297219";"251976";"226797";"25179";"28299";"6109";"5334";"4748";"753";"-";"91135";"75453";"66995";"8458";"10899";"2027";"1293";"1147";"316";"-";"6011";"3795";"3468";"327";"552";"542";"549";"275";"298";"-";"3102";"901";"734";"167";"265";"728";"496";"457";"255";"-";"1112";"-";"-";"-";"-";"-";"-";"-";"-";"1112"
"UF";"33";"Rio de Janeiro";"Total";"Indígena";"15835";"12189";"11031";"1158";"1680";"1019";"428";"372";"97";"50";"15396";"12137";"10990";"1147";"1519";"886";"425";"368";"61";"-";"10086";"7808";"7070";"738";"895";"712";"341";"282";"48";"-";"3756";"3077";"2805";"272";"416";"111";"71";"69";"12";"-";"1152";"948";"841";"107";"142";"46";"6";"10";"-";"-";"402";"304";"274";"30";"66";"17";"7";"7";"1";"-";"319";"41";"33";"8";"159";"110";"1";"-";"8";"-";"70";"11";"8";"3";"2";"23";"2";"4";"28";"-";"50";"-";"-";"-";"-";"-";"-";"-";"-";"50"
"UF";"33";"Rio de Janeiro";"0 a 4 anos";"Total";"874734";"711277";"644880";"66397";"63161";"32884";"35508";"27562";"4145";"197";"872622";"710381";"644095";"66286";"62976";"32566";"35273";"27394";"4032";"-";"635471";"508594";"460523";"48071";"43833";"26931";"30087";"22746";"3280";"-";"174691";"146979";"133160";"13819";"13971";"4688";"4514";"3964";"575";"-";"46331";"40786";"37620";"3166";"3670";"707";"529";"529";"110";"-";"16129";"14022";"12792";"1230";"1502";"240";"143";"155";"67";"-";"1327";"731";"645";"86";"152";"172";"135";"65";"72";"-";"588";"165";"140";"25";"33";"146";"100";"103";"41";"-";"197";"-";"-";"-";"-";"-";"-";"-";"-";"197"
"UF";"33";"Rio de Janeiro";"0 a 4 anos";"Branca";"383829";"318104";"289304";"28800";"28498";"12646";"11953";"11045";"1537";"46";"383311";"317859";"289079";"28780";"28455";"12587";"11908";"10989";"1513";"-";"245813";"198714";"179889";"18825";"17555";"9882";"9882";"8673";"1107";"-";"94283";"80593";"73445";"7148";"7541";"2199";"1734";"1933";"283";"-";"31405";"28110";"26177";"1933";"2333";"367";"230";"291";"74";"-";"11810";"10442";"9568";"874";"1026";"139";"62";"92";"49";"-";"358";"209";"189";"20";"37";"45";"26";"22";"19";"-";"114";"36";"36";"-";"6";"14";"19";"34";"5";"-";"46";"-";"-";"-";"-";"-";"-";"-";"-";"46"
"UF";"33";"Rio de Janeiro";"0 a 4 anos";"Preta";"106288";"86759";"79220";"7539";"6211";"4071";"5165";"3480";"553";"49";"105815";"86550";"79044";"7506";"6183";"3997";"5115";"3446";"524";"-";"86941";"70594";"64511";"6083";"4911";"3437";"4513";"3019";"467";"-";"15480";"13027";"11877";"1150";"1010";"484";"539";"370";"50";"-";"2666";"2319";"2105";"214";"194";"57";"53";"39";"4";"-";"728";"610";"551";"59";"68";"19";"10";"18";"3";"-";"267";"162";"136";"26";"19";"33";"26";"9";"18";"-";"157";"47";"40";"7";"9";"41";"24";"25";"11";"-";"49";"-";"-";"-";"-";"-";"-";"-";"-";"49"
"UF";"33";"Rio de Janeiro";"0 a 4 anos";"Amarela";"840";"729";"671";"58";"42";"22";"24";"17";"6";"-";"838";"728";"670";"58";"42";"22";"24";"16";"6";"-";"446";"379";"341";"38";"22";"11";"20";"9";"5";"-";"252";"221";"207";"14";"10";"10";"4";"6";"1";"-";"101";"94";"91";"3";"5";"1";"-";"1";"-";"-";"39";"34";"31";"3";"5";"-";"-";"-";"-";"-";"1";"-";"-";"-";"-";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
