"Tabela 6909 - Moradores em domicílios particulares permanentes ocupados, por existência de canalização de água e a principal forma de abastecimento de água, segundo grupos de idade e cor ou raça"
"Variável - Moradores em domicílios particulares permanentes ocupados (Pessoas)"
"Nível";"Cód.";"Unidade da Federação";"Grupo de idade";"Cor ou raça";"Ano x Principal forma de abastecimento de água x Existência de canalização de água"
"Nível";"Cód.";"Unidade da Federação";"Grupo de idade";"Cor ou raça";"2022"
"Nível";"Cód.";"Unidade da Federação";"Grupo de idade";"Cor ou raça";"Total";;;;"Rede geral de distribuição";;;;"Poço profundo ou artesiano";;;;"Poço raso, freático ou cacimba";;;;"Fonte, nascente ou mina";;;;"Carro-pipa";;;;"Água da chuva armazenada";;;;"Rios, açudes, córregos, lagos e igarapés";;;;"Outra"
"Nível";"Cód.";"Unidade da Federação";"Grupo de idade";"Cor ou raça";"Total";"Canalizada até dentro da casa, apartamento ou habitação";"Canalizada, mas apenas no terreno";"Sem água canalizada";"Total";"Canalizada até dentro da casa, apartamento ou habitação";"Canalizada, mas apenas no terreno";"Sem água canalizada";"Total";"Canalizada até dentro da casa, apartamento ou habitação";"Canalizada, mas apenas no terreno";"Sem água canalizada";"Total";"Canalizada até dentro da casa, apartamento ou habitação";"Canalizada, mas apenas no terreno";"Sem água canalizada";"Total";"Canalizada até dentro da casa, apartamento ou habitação";"Canalizada, mas apenas no terreno";"Sem água canalizada";"Total";"Canalizada até dentro da casa, apartamento ou habitação";"Canalizada, mas apenas no terreno";"Sem água canalizada";"Total";"Canalizada até dentro da casa, apartamento ou habitação";"Canalizada, mas apenas no terreno";"Sem água canalizada";"Total";"Canalizada até dentro da casa, apartamento ou habitação";"Canalizada, mas apenas no terreno";"Sem água canalizada";"Total";"Canalizada até dentro da casa, apartamento ou habitação";"Canalizada, mas apenas no terreno";"Sem água canalizada"
"UF";"33";"Rio de Janeiro";"Total";"Total";"15991284";"15470366";"341651";"179267";"13452594";"13244453";"208141";"-";"1713175";"1510292";"91625";"111258";"263961";"233283";"15822";"14856";"338057";"325488";"6828";"5741";"86860";"64322";"7095";"15443";"7542";"4291";"949";"2302";"19395";"17930";"654";"811";"109700";"70307";"10537";"28856"
"UF";"33";"Rio de Janeiro";"Total";"Branca";"6718307";"6566546";"99817";"51944";"5813531";"5752637";"60894";"-";"584926";"524248";"27200";"33478";"91533";"82589";"4511";"4433";"160486";"156020";"2269";"2197";"29816";"23073";"2077";"4666";"2433";"1628";"250";"555";"7683";"7211";"167";"305";"27899";"19140";"2449";"6310"
"UF";"33";"Rio de Janeiro";"Total";"Preta";"2580603";"2475462";"69309";"35832";"2151913";"2108674";"43239";"-";"293601";"255465";"17355";"20781";"44768";"38796";"2952";"3020";"45129";"42801";"1292";"1036";"15511";"11002";"1468";"3041";"1532";"722";"245";"565";"2989";"2706";"159";"124";"25160";"15296";"2599";"7265"
"UF";"33";"Rio de Janeiro";"Total";"Amarela";"21775";"21142";"394";"239";"19160";"18935";"225";"-";"1800";"1504";"127";"169";"217";"174";"17";"26";"417";"396";"15";"6";"87";"69";"6";"12";"10";"5";"-";"5";"23";"22";"-";"1";"61";"37";"4";"20"
"UF";"33";"Rio de Janeiro";"Total";"Parda";"6654246";"6392123";"171151";"90972";"5454886";"5351399";"103487";"-";"831269";"727699";"46857";"56713";"127168";"111492";"8328";"7348";"130992";"125809";"2734";"2449";"41245";"30068";"3498";"7679";"3556";"1931";"452";"1173";"8681";"7976";"328";"377";"56449";"35749";"5467";"15233"
"UF";"33";"Rio de Janeiro";"Total";"Indígena";"15835";"14587";"971";"277";"12644";"12353";"291";"-";"1548";"1348";"84";"116";"266";"225";"12";"29";"1023";"452";"518";"53";"201";"110";"46";"45";"10";"5";"2";"3";"18";"14";"-";"4";"125";"80";"18";"27"
"UF";"33";"Rio de Janeiro";"0 a 4 anos";"Total";"874734";"839892";"23021";"11821";"720275";"706093";"14182";"-";"103493";"90748";"5881";"6864";"15789";"13767";"1042";"980";"19811";"18993";"487";"331";"5730";"4101";"494";"1135";"397";"201";"55";"141";"1166";"1060";"60";"46";"8073";"4929";"820";"2324"
"UF";"33";"Rio de Janeiro";"0 a 4 anos";"Branca";"383829";"372338";"7648";"3843";"322910";"318108";"4802";"-";"40033";"35622";"1994";"2417";"5767";"5154";"301";"312";"9839";"9570";"134";"135";"2186";"1670";"157";"359";"142";"82";"21";"39";"530";"493";"21";"16";"2422";"1639";"218";"565"
"UF";"33";"Rio de Janeiro";"0 a 4 anos";"Preta";"106288";"100995";"3539";"1754";"87832";"85593";"2239";"-";"12385";"10714";"764";"907";"1901";"1568";"175";"158";"1874";"1743";"76";"55";"716";"455";"95";"166";"55";"26";"8";"21";"124";"105";"14";"5";"1401";"791";"168";"442"
"UF";"33";"Rio de Janeiro";"0 a 4 anos";"Amarela";"840";"798";"30";"12";"713";"694";"19";"-";"85";"69";"11";"5";"10";"7";"-";"3";"19";"19";"-";"-";"7";"6";"-";"1";"-";"-";"-";"-";"1";"1";"-";"-";"5";"2";"-";"3"
"UF";"33";"Rio de Janeiro";"0 a 4 anos";"Parda";"383256";"365370";"11691";"6195";"308502";"301390";"7112";"-";"50944";"44305";"3109";"3530";"8105";"7033";"566";"506";"7956";"7635";"186";"135";"2799";"1961";"234";"604";"200";"93";"26";"81";"511";"461";"25";"25";"4239";"2492";"433";"1314"
"UF";"33";"Rio de Janeiro";"0 a 4 anos";"Indígena";"500";"370";"113";"17";"298";"288";"10";"-";"45";"37";"3";"5";"6";"5";"-";"1";"123";"26";"91";"6";"22";"9";"8";"5";"-";"-";"-";"-";"-";"-";"-";"-";"6";"5";"1";"-"
"UF";"33";"Rio de Janeiro";"5 a 9 anos";"Total";"1014589";"975796";"25546";"13247";"838510";"822879";"15631";"-";"119715";"105084";"6710";"7921";"17717";"15601";"1064";"1052";"21648";"20743";"505";"400";"6283";"4558";"544";"1181";"485";"230";"67";"188";"1305";"1172";"70";"63";"8926";"5529";"955";"2442"
"UF";"33";"Rio de Janeiro";"5 a 9 anos";"Branca";"398879";"387869";"7250";"3760";"337964";"333585";"4379";"-";"40326";"35936";"1995";"2395";"5857";"5274";"294";"289";"9727";"9420";"173";"134";"2172";"1688";"141";"343";"150";"81";"27";"42";"473";"430";"24";"19";"2210";"1455";"217";"538"
"UF";"33";"Rio de Janeiro";"5 a 9 anos";"Preta";"139089";"132554";"4424";"2111";"115419";"112602";"2817";"-";"16208";"14015";"1034";"1159";"2366";"2011";"172";"183";"2355";"2214";"76";"65";"860";"581";"87";"192";"87";"32";"21";"34";"173";"152";"10";"11";"1621";"947";"207";"467"
"UF";"33";"Rio de Janeiro";"5 a 9 anos";"Amarela";"1023";"980";"31";"12";"904";"888";"16";"-";"83";"68";"9";"6";"12";"5";"4";"3";"16";"15";"1";"-";"5";"2";"1";"2";"-";"-";"-";"-";"1";"1";"-";"-";"2";"1";"-";"1"
"UF";"33";"Rio de Janeiro";"5 a 9 anos";"Parda";"474955";"453872";"13738";"7345";"383795";"375396";"8399";"-";"63028";"55005";"3668";"4355";"9472";"8302";"594";"576";"9447";"9068";"186";"193";"3221";"2275";"306";"640";"248";"117";"19";"112";"658";"589";"36";"33";"5086";"3120";"530";"1436"
"UF";"33";"Rio de Janeiro";"5 a 9 anos";"Indígena";"622";"500";"103";"19";"409";"389";"20";"-";"69";"59";"4";"6";"10";"9";"-";"1";"103";"26";"69";"8";"25";"12";"9";"4";"-";"-";"-";"-";"-";"-";"-";"-";"6";"5";"1";"-"
"UF";"33";"Rio de Janeiro";"10 a 14 anos";"Total";"963548";"927534";"23814";"12200";"795699";"781306";"14393";"-";"113801";"100019";"6352";"7430";"17023";"14903";"1105";"1015";"21399";"20555";"485";"359";"5858";"4252";"522";"1084";"459";"224";"87";"148";"1309";"1220";"41";"48";"8000";"5055";"829";"2116"
"UF";"33";"Rio de Janeiro";"10 a 14 anos";"Branca";"364870";"355187";"6427";"3256";"309479";"305550";"3929";"-";"36686";"32792";"1775";"2119";"5347";"4788";"266";"293";"9091";"8833";"139";"119";"1859";"1455";"117";"287";"112";"64";"19";"29";"449";"432";"5";"12";"1847";"1273";"177";"397"
"UF";"33";"Rio de Janeiro";"10 a 14 anos";"Preta";"140299";"134099";"4086";"2114";"116143";"113618";"2525";"-";"16333";"14138";"992";"1203";"2461";"2130";"180";"151";"2500";"2356";"78";"66";"973";"691";"95";"187";"82";"32";"26";"24";"184";"167";"8";"9";"1623";"967";"182";"474"
"UF";"33";"Rio de Janeiro";"10 a 14 anos";"Amarela";"1065";"1028";"20";"17";"924";"910";"14";"-";"107";"91";"4";"12";"7";"5";"1";"1";"18";"17";"-";"1";"2";"2";"-";"-";"1";"1";"-";"-";"-";"-";"-";"-";"6";"2";"1";"3"
