ano,id_municipio,sigla_uf,populacao_atendida_agua,populacao_atentida_esgoto,populacao_urbana,populacao_urbana_residente_agua,populacao_urbana_atendida_agua,populacao_urbana_atendida_agua_ibge,populacao_urbana_residente_esgoto,populacao_urbana_atendida_esgoto,populacao_urbana_residente_esgoto_ibge,extensao_rede_agua,extensao_rede_esgoto,quantidade_sede_municipal_agua,quantidade_sede_municipal_esgoto,quantidade_localidade_agua,quantidade_localidade_esgoto,quantidade_ligacao_ativa_agua,quantidade_ligacao_ativa_esgoto,quantidade_ligacao_total_agua,quantidade_ligacao_total_esgoto,quantidade_economia_ativa_agua,quantidade_economia_ativa_esgoto,quantidade_ligacao_micromedia_ativa_agua,quantidade_economia_residencial_ativa_agua,quantidade_economia_residencial_ativa_esgoto,quantidade_economia_micromedida_ativa_agua,quantidade_economia_residencial_micromedida_ativa_agua,volume_agua_produzido,volume_agua_tratada_eta,volume_agua_micromedido,volume_agua_consumido,volume_agua_faturado,volume_agua_macromedido,volume_agua_tratada_desinfeccao,volume_agua_bruta_exportado,volume_agua_tratada_importado,volume_agua_tratada_exportado,volume_agua_micromedido_economia_ativa,volume_servico_agua,volume_agua_fluoretada,consumo_eletrico_sistemas_agua,volume_esgoto_coletado,volume_esgoto_tratado,volume_esgoto_faturado,volume_esgoto_bruto_exportado,volume_esgoto_bruto_importado,volume_esgoto_importado,volume_esgoto_bruto_exportado_tratamento_importador,consumo_eletrico_sistemas_esgoto,indice_agua_ligacao,indice_hidrometracao,indice_macromedicao_volume_disponibilizado,indice_macromedicao,indice_perda_faturamento,indice_micromedido_economia,indice_coleta_esgoto,indice_tratamento_esgoto,indice_consumo_agua_faturado,indice_extensao_agua_ligacao,indice_extensao_esgoto_ligacao,indice_consumo_agua_per_capita,indice_atendimento_urbano_agua,indice_atendimento_agua_esgoto,indice_volume_agua_economia,indice_faturamento_agua,indice_participacao_economia_agua,indice_micromedicao_relativo_agua,indice_esgotamento_agua_consumida,indice_atendimento_esgoto_esgoto,indice_perda_distribuicao_agua,indice_perda_linear_agua,indice_perda_ligacao_agua,indice_consumo_agua,indice_consumo_medio_agua,indice_atendimento_total_agua,indice_atendimento_esgoto_agua,indice_fluoretacao_agua,indice_consumo_energia_agua,indice_consumo_energia_esgoto,receita_operacional_direta,receita_operacional_direta_agua,receita_operacional_direta_esgoto,receita_operacional_indireta,receita_operacional_direta_agua_exportada,receita_operacional,receita_operacional_direta_esgoto_importado,arrecadacao_total,credito_areceber,despesa_pessoal,quantidade_empregado,despesa_produto_quimico,despesa_energia,despesa_servico_terceiro,despesa_exploracao,despesas_juros_divida,despesa_total_servico,despesa_ativo,despesa_agua_importada,despesa_fiscal,despesa_fiscal_nao_computada,despesa_exploracao_outro,despesa_servico_outro,despesa_amortizacao_divida,despesas_juros_divida_excecao,despesa_divida_variacao,despesa_divida_total,despesa_esgoto_exportado,despesa_capitalizavel_municipio,despesa_capitalizavel_estado,despesa_capitalizavel_prestador,investimento_agua_prestador,investimento_esgoto_prestador,investimento_outro_prestador,investimento_recurso_proprio_prestador,investimento_recurso_oneroso_prestador,investimento_recurso_nao_oneroso_prestador,investimento_total_prestador,investimento_agua_municipio,investimento_esgoto_municipio,investimento_outro_municipio,investimento_recurso_proprio_municipio,investimento_recurso_oneroso_municipio,investimento_recurso_nao_oneroso_municipio,investimento_total_municipio,investimento_agua_estado,investimento_esgoto_estado,investimento_outro_estado,investimento_recurso_proprio_estado,investimento_recurso_oneroso_estado,investimento_recurso_nao_oneroso_estado,investimento_total_estado
2021,3300407,RJ,183384,165701,183549,183549,182355,185237,183549,157852,185237,780,580,1,1,5,2,49405,40956,54819,46370,69917,57351,49248,62927,51473,69760,62783,"15510,6",15280,"7173,81","7298,15","10086,92","14906,78","195,84",0,"1495,84",0,"6527,23",350,"14464,04","24035,36","10547,2",300,"5023,36",0,0,0,0,"88,81","1,42","99,66","43,07","87,65","39,44","8,6",100,"2,84","12,1","62,1","19,06","109,2","99,4",86,"20,4","60,56","89,94","98,3","4,11",86,"56,18","7,61","524,04","43,82","8,8",99,"89,45","85,05","1,41","0,01","54061272,75","36613156,62","17448116,13","8505062,82",0,"62566335,57",0,"62566335,57","66264740,51","19551810,49",338,"849670,42","12067256,12","14254157,91","63514632,22",0,"63514632,22",0,"5318648,25",625000,0,"10848089,03",0,0,0,0,0,0,0,0,0,"288542,93",0,"38698,8","327241,73",0,0,"327241,73",0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,3301603,RJ,7971,1329,8107,8107,7971,11454,8107,1329,11454,15,9,1,1,1,0,2561,405,3115,453,2862,485,2560,2657,433,2861,2656,694,694,590,591,590,0,0,0,0,0,539,0,250,300,81,59,0,0,0,0,0,0,"1,11","99,93","85,01",0,"14,99","16,3","13,71","72,84","16,2","4,9","19,82","189,9","98,3","16,39","19,1","85,01","92,75","99,83","9,98","16,39","14,84","18,81","103,75","85,16","16,3","69,59","11,6","36,02","0,43",0,"2352360,53","2352360,53",0,"4859,92",0,"2357220,45",0,"1862557,39","716426,64","728170,06",5,"20560,06","102148,32","110964,17","1050249,22","14016,83","1440412,15","241076,58",0,"54487,17","135069,52","33919,44",0,"40147,06","13884,09","132,74","54163,89",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,3301876,RJ,27656,22682,28310,28310,27656,28310,28310,22682,28310,298,9,1,1,0,0,15320,15320,16912,16912,18537,18537,15001,17841,17841,18209,17524,2488,2488,1394,1400,2249,2488,0,0,0,0,1279,642,2488,1835,2140,2140,2249,0,0,0,0,666,"1,22","97,73","75,51",100,"-21,83","6,4",100,100,"10,1","17,7","0,54",140,"97,7","80,12","11,2","121,83","96,08","99,57",100,"80,12","24,16","4,11","80,28","75,84","6,3","97,69","80,12",100,"0,74","0,31",23241929,23241929,0,1849003,0,25090932,0,21976546,10332288,1573501,29,303752,1474389,2542273,7981192,3111526,13648570,2555852,0,33277,0,2054000,0,0,3111526,0,3111526,0,0,0,0,882295,740349,366666,1989310,0,0,1989310,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,3304524,RJ,134206,42220,138016,138016,134206,145989,138016,40194,145989,"169,5",223,1,1,1,2,35873,16757,39459,16757,48085,22290,27218,45531,21052,36163,34857,"74,3",0,5840,"6151,4",6082,"15,8","74,3",0,11464,0,5504,0,0,3083,"2617,93","2617,93",0,0,0,0,0,,"1,35","76,73","50,61","0,14","47,29","13,2","42,56",100,"10,5",4,"13,59","126,1","97,2","29,12",20,"52,71","94,36","94,94","42,56","29,12","46,69","95,68","415,36","53,31","10,7","91,93","28,92",0,"0,27",,"103612310,5","24889315,51","78722994,98","269025,01",0,"103881335,5",0,"35325862,85","7605439,93","18039259,08",183,"414820,87","1218775,18","2917855,36","27268347,08","11475539,65","64863849,65","2607016,25",0,"870609,2","13020925,43","3807027,39","10492021,24","413154,71","10534288,23","941251,42","11888694,36",0,0,0,0,"14032,12","1041509,07",0,"1032069,22",0,0,"1055541,19","1206876,93","11783860,38",0,"12990737,31",0,0,"12990737,31",0,0,0,0,0,0,0
2021,3304557,RJ,6775561,6094888,6775561,6775561,6775561,6775561,6775561,6094888,6775561,"10874,23","7009,58",1,1,0,22,1409856,880189,1418384,1176971,2717529,2207457,614205,2527778,2014093,1780516,1607079,"3259,64",0,"332614,59","468430,12","437748,24",0,"3259,64",0,"1220422,71",0,"243105,5","219176,51","1967,91","372889,68","406681,07","346468,38","426632,08",0,"2027,12","2027,12",0,"59765,35","1,93","43,6","33,11",0,"56,42","15,5","86,82","85,27","13,4","7,7","5,96","189,8",100,"89,95","37,5","43,58","93,01","71,01","73,96","89,95","53,37","135,21","1042,51","46,63","14,4",100,"89,95","0,16","0,3","0,15",5760187518,2853652232,2565792592,"18246850,37","337067796,5",5778434368,"3674896,8",4952730324,1619489613,"899601227,9",3669,"5572813,92","386451467,7","498153605,9",2521539826,"112424293,7",3772898362,1088529149,"176995293,9","301974480,5","50002754,95","252790936,5","402338,44","115159200,7","105529938,6","6894355,09","227583494,4",0,0,0,0,"57735157,32",195813890,"63988793,8","165397194,6","152140646,6",0,"317537841,1",0,0,0,0,0,0,0,0,"67918711,7",0,0,0,"67918711,7","67918711,7"
2018,3305554,RJ,59351,28406,71321,71321,48799,86743,71321,28406,86743,"301,11",53,1,1,0,0,14040,6491,14726,6801,19778,8906,5007,18548,8500,7826,7368,0,0,1524,4599,3372,0,0,0,7957,0,1295,0,0,"1620,11",1730,316,0,0,0,0,0,"178,45","1,41","35,54","19,15",0,"57,62","16,3","37,62","18,27","14,2","20,5","7,81","212,6","68,4","39,83","33,6","42,38","93,79","33,14","6,87","39,83","42,2","30,55","656,46","57,8","19,4","68,42","32,75",0,"0,2","0,1","24069723,56","24069723,56",0,"7827,79",0,"24077551,35",0,"4872238,02","7317855,76","5032057,11",22,"159992,76","794890,21","863492,74","7425792,59","109075,15","10461933,58","1875991,87",0,"311408,01","1051073,97","263951,76",0,"312413,44","108042,17","1032,98","421488,59",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,3300209,RJ,115615,80782,116808,116808,114490,122865,116808,80210,122865,727,107,1,1,1,1,42578,27804,50114,34517,50351,39162,42270,48452,37408,50073,48187,"22396,88","22396,88","5312,94","10325,43","9317,83","21069,95",0,0,0,4200,"5271,54","1326,94",0,"20074,33","5929,33","5929,33",0,0,0,0,0,"1854,74","1,18","99,28","31,49","92,71","55,78","10,3","96,8",100,"9,8","17,4","3,54","146,5",98,"68,67",35,"44,22","97,38","86,74","96,8","68,67","50,99","40,97","802,34","49,01","11,8","94,1","65,75",0,"0,9","0,31","48928930,64","48928930,64",0,"2076826,68",0,"51005757,32",0,"47327682,92","9674200,11","14215291,66",226,"368862,47","8957059,35","9509382,68","44255223,3","6688835,13","60466726,89","5903290,27",0,"5845336,49","3619378,19","5359290,65",0,"2663460,34","6688835,13",0,"9352295,47",0,0,0,0,"1990018,58","5674985,26","4826016,77","1104137,09","11386883,52",0,"12491020,61",0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,3300803,RJ,48983,32000,48409,48409,48304,55967,48409,25900,55967,"327,76",120,1,1,3,3,14715,5380,16839,7570,16188,,340,,,391,363,"13049,86",0,76,"12282,93","11459,74",0,"12615,96",0,0,"9019,86",70,0,0,"12,9","1417,7",0,"850,71",0,0,0,0,0,"1,1","2,29","1,89",0,"12,18","16,5","43,45",0,"12,8","19,7","16,19","182,9","99,8","53,5","21,1","87,82","88,34","2,33",0,"53,5","5,88","6,41","145,44","94,12","17,1","87,52","57,18",0,0,0,"8432085,54","8139368,66","292716,88","130359,09",0,"8562444,63",0,"6783468,32",,"2991278,68",78,"375902,41","128175,75","715921,18",4398003,"95332,2","10548914,42","5843354,24",0,"33065,61","172581,65","153659,37","39643,33","152859,9","94778,56","553,64","248192,1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1257,26","1257,26",0,0,"1257,26"
2016,3301306,RJ,41215,27197,33217,33217,33617,41167,33217,27197,41167,"144,28",61,1,1,3,2,12425,6154,13681,6803,13743,6503,10875,12554,5717,11867,10816,"12100,03","12100,03","1911,87","9102,87","9482,48","1804,03",0,0,0,7116,"1709,82",0,"1804,03","5712,86","1529,5","599,1",0,0,0,0,0,"2,1","1,11","87,36","38,36",,"21,63","13,5","76,98","39,17","14,4","10,6","8,48","134,4",100,"81,88","30,3","78,37","92,03","96,23","30,15","81,88","24,77","57,17","662,58","75,23","12,1",100,"66,07","14,91","0,47",0,"29971379,68","29967630,49","3749,19","193332,47",0,"30164712,15",0,"22504084,32",,"3708939,84",51,"577420,74","2005607,95","1298851,59","8900094,78","266822,39","16541079,75","6180925,99",0,"631460,51","434474,37","677814,15","758762,22","598125,49","263548,63","3273,76","864947,88",0,0,0,"651035,31",0,0,0,"651035,31",0,0,"651035,31",0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,3302502,RJ,185339,99152,223755,223755,175485,236319,223755,99152,236319,"285,12",163,1,1,1,0,33920,17275,36575,18653,59959,30888,1440,57737,29194,3024,2473,14036,14036,674,10828,1828,0,0,0,0,0,479,0,0,"113,99",4284,0,0,0,0,0,0,0,"1,77","4,2","4,8",0,"86,98",20,"39,56",0,"2,5","7,6","8,83","160,1","78,4","44,31","19,5","13,02","96,3","6,22",0,"44,31","22,86","31,72","259,15","77,14","15,1","78,43","41,96",0,"0,01",0,"6526408,86","6526408,86",0,"6113,91",0,"6532522,77",0,"4720344,27","1632000,06","4975421,98",28,"609927,64","39632,13","6251932,97","12707250,67","831191,97","16534731,68","1400420,71",0,"45900,53","1353453,22","784435,42","242415,11","1863251,22","820993,76","10198,21","2694443,19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1682250,0,"12410,28","12410,28",1682250,0,"1694660,28"
