"Tabela 6806 - Domicílios particulares permanentes ocupados, por existência de banheiro ou sanitário e número de banheiros de uso exclusivo do domicílio e por tipo de esgotamento sanitário"
"Variável - Domicílios particulares permanentes ocupados (Unidades)"
"Nível";"Cód.";"Município";"Tipo de esgotamento sanitário";"Ano x Existência de banheiro ou sanitário e número de banheiros de uso exclusivo do domicílio"
"Nível";"Cód.";"Município";"Tipo de esgotamento sanitário";"2022"
"Nível";"Cód.";"Município";"Tipo de esgotamento sanitário";"Total";"Tinham banheiro de uso exclusivo do domicílio";"Tinham banheiro de uso exclusivo do domicílio - 1 banheiro";"Tinham banheiro de uso exclusivo do domicílio - 2 banheiros";"Tinham banheiro de uso exclusivo do domicílio - 3 banheiros";"Tinham banheiro de uso exclusivo do domicílio - 4 banheiros ou mais";"Apenas banheiro de uso comum a mais de um domicílio";"Apenas sanitário ou buraco para dejeções, inclusive os localizados no terreno";"Não tinham banheiro nem sanitário"
"MU";"3300100";"Angra dos Reis (RJ)";"Total";"62126";"62050";"42796";"15013";"3117";"1124";"47";"14";"15"
"MU";"3300100";"Angra dos Reis (RJ)";"Rede geral, rede pluvial ou fossa ligada à rede";"43791";"43768";"30234";"10601";"2216";"717";"19";"4";"-"
"MU";"3300100";"Angra dos Reis (RJ)";"Rede geral ou pluvial";"37524";"37506";"26363";"8812";"1790";"541";"14";"4";"-"
"MU";"3300100";"Angra dos Reis (RJ)";"Fossa séptica ou fossa filtro ligada à rede";"6267";"6262";"3871";"1789";"426";"176";"5";"-";"-"
"MU";"3300100";"Angra dos Reis (RJ)";"Fossa séptica ou fossa filtro não ligada à rede";"9134";"9120";"5825";"2403";"601";"291";"13";"1";"-"
"MU";"3300100";"Angra dos Reis (RJ)";"Fossa rudimentar ou buraco";"5123";"5110";"3677";"1144";"211";"78";"8";"5";"-"
"MU";"3300100";"Angra dos Reis (RJ)";"Vala";"3253";"3251";"2478";"690";"63";"20";"1";"1";"-"
"MU";"3300100";"Angra dos Reis (RJ)";"Rio, lago, córrego ou mar";"619";"617";"463";"129";"18";"7";"1";"1";"-"
"MU";"3300100";"Angra dos Reis (RJ)";"Outra forma";"191";"184";"119";"46";"8";"11";"5";"2";"-"
"MU";"3300100";"Angra dos Reis (RJ)";"Não tinham banheiro nem sanitário";"15";"-";"-";"-";"-";"-";"-";"-";"15"
