"Tabela 6804 - Domicílios particulares permanentes ocupados, por existência de canalização de água e principal forma de abastecimento de água"
"Variável - Domicílios particulares permanentes ocupados (Unidades)"
"Nível";"Cód.";"Município";"Existência de canalização de água";"Ano x Principal forma de abastecimento de água"
"Nível";"Cód.";"Município";"Existência de canalização de água";"2022"
"Nível";"Cód.";"Município";"Existência de canalização de água";"Total";"Rede geral de distribuição";"Poço profundo ou artesiano";"Poço raso, freático ou cacimba";"Fonte, nascente ou mina";"Carro-pipa";"Água da chuva armazenada";"Rios, açudes, córregos, lagos e igarapés";"Outra"
"MU";"3300100";"Angra dos Reis (RJ)";"Total";"62126";"54510";"578";"68";"6648";"7";"11";"151";"153"
"MU";"3300100";"Angra dos Reis (RJ)";"Canalizada até dentro da casa, apartamento ou habitação";"61620";"54356";"537";"64";"6378";"7";"9";"139";"130"
"MU";"3300100";"Angra dos Reis (RJ)";"Canalizada, mas apenas no terreno";"336";"154";"19";"2";"149";"-";"-";"10";"2"
"MU";"3300100";"Angra dos Reis (RJ)";"Sem água canalizada";"170";"-";"22";"2";"121";"-";"2";"2";"21"
"MU";"3300159";"Aperibé (RJ)";"Total";"4334";"3761";"473";"70";"26";"-";"-";"-";"4"
"MU";"3300159";"Aperibé (RJ)";"Canalizada até dentro da casa, apartamento ou habitação";"4320";"3759";"465";"68";"26";"-";"-";"-";"2"
"MU";"3300159";"Aperibé (RJ)";"Canalizada, mas apenas no terreno";"6";"2";"3";"1";"-";"-";"-";"-";"-"
"MU";"3300159";"Aperibé (RJ)";"Sem água canalizada";"8";"-";"5";"1";"-";"-";"-";"-";"2"
"MU";"3300209";"Araruama (RJ)";"Total";"48144";"45825";"1246";"618";"113";"145";"29";"6";"162"
"MU";"3300209";"Araruama (RJ)";"Canalizada até dentro da casa, apartamento ou habitação";"47150";"45498";"874";"467";"104";"92";"19";"6";"90"
"MU";"3300209";"Araruama (RJ)";"Canalizada, mas apenas no terreno";"576";"327";"161";"35";"9";"21";"3";"-";"20"
"MU";"3300209";"Araruama (RJ)";"Sem água canalizada";"418";"-";"211";"116";"-";"32";"7";"-";"52"
"MU";"3300225";"Areal (RJ)";"Total";"4231";"3011";"339";"229";"609";"7";"1";"32";"3"
"MU";"3300225";"Areal (RJ)";"Canalizada até dentro da casa, apartamento ou habitação";"4178";"3007";"325";"228";"595";"7";"1";"13";"2"
"MU";"3300225";"Areal (RJ)";"Canalizada, mas apenas no terreno";"26";"4";"12";"1";"6";"-";"-";"2";"1"
"MU";"3300225";"Areal (RJ)";"Sem água canalizada";"27";"-";"2";"-";"8";"-";"-";"17";"-"
"MU";"3300233";"Armação dos Búzios (RJ)";"Total";"14920";"14086";"341";"27";"12";"347";"9";"3";"95"
