"Tabela 6326 - Domicílios particulares permanentes ocupados, por tipo de domicílio"
"Variável - Domicílios particulares permanentes ocupados (Unidades)"
"Nível";"Cód.";"Município";"Ano x Tipo de domicílio"
"Nível";"Cód.";"Município";"2022"
"Nível";"Cód.";"Município";"Total";"Casa";"Casa de vila ou em condomínio";"Apartamento";"Habitação em casa de cômodos ou cortiço";"Habitação indígena sem paredes ou maloca";"Estrutura residencial permanente degradada ou inacabada"
"MU";"3300100";"Angra dos Reis (RJ)";"62126";"55079";"2298";"4631";"85";"-";"33"
"MU";"3300159";"Aperibé (RJ)";"4334";"4159";"19";"156";"-";"-";"-"
"MU";"3300209";"Araruama (RJ)";"48144";"43378";"2796";"1913";"35";"-";"22"
"MU";"3300225";"Areal (RJ)";"4231";"3920";"73";"231";"6";"-";"1"
"MU";"3300233";"Armação dos Búzios (RJ)";"14920";"13285";"1341";"153";"139";"-";"2"
"MU";"3300258";"Arraial do Cabo (RJ)";"11542";"10697";"558";"282";"3";"-";"2"
"MU";"3300308";"Barra do Piraí (RJ)";"34992";"32106";"381";"2446";"45";"-";"14"
"MU";"3300407";"Barra Mansa (RJ)";"62890";"54338";"421";"8057";"68";"-";"6"
"MU";"3300456";"Belford Roxo (RJ)";"180893";"159197";"7742";"13211";"656";"-";"87"
"MU";"3300506";"Bom Jardim (RJ)";"10878";"9762";"59";"1042";"15";"-";"-"
"MU";"3300605";"Bom Jesus do Itabapoana (RJ)";"13384";"12509";"99";"765";"4";"-";"7"
"MU";"3300704";"Cabo Frio (RJ)";"82015";"67027";"7676";"7117";"135";"-";"60"
"MU";"3300803";"Cachoeiras de Macacu (RJ)";"22265";"20464";"1138";"653";"5";"-";"5"
"MU";"3300902";"Cambuci (RJ)";"5799";"5630";"17";"150";"-";"-";"2"
"MU";"3300936";"Carapebus (RJ)";"5034";"4906";"50";"75";"3";"-";"-"
"MU";"3300951";"Comendador Levy Gasparian (RJ)";"3015";"2936";"17";"54";"3";"-";"5"
"MU";"3301009";"Campos dos Goytacazes (RJ)";"175744";"148487";"3784";"23307";"112";"-";"54"
"MU";"3301108";"Cantagalo (RJ)";"7289";"6683";"71";"531";"4";"-";"-"
"MU";"3301157";"Cardoso Moreira (RJ)";"4985";"4931";"6";"45";"1";"-";"2"
"MU";"3301207";"Carmo (RJ)";"6683";"6052";"17";"612";"1";"-";"1"
"MU";"3301306";"Casimiro de Abreu (RJ)";"16907";"15618";"536";"706";"18";"-";"29"
"MU";"3301405";"Conceição de Macabu (RJ)";"7901";"7331";"84";"485";"1";"-";"-"
"MU";"3301504";"Cordeiro (RJ)";"7959";"7018";"69";"869";"3";"-";"-"
"MU";"3301603";"Duas Barras (RJ)";"4151";"3947";"12";"190";"2";"-";"-"
"MU";"3301702";"Duque de Caxias (RJ)";"298064";"252140";"26802";"18260";"764";"-";"98"
"MU";"3301801";"Engenheiro Paulo de Frontin (RJ)";"4791";"4690";"19";"77";"5";"-";"-"
"MU";"3301850";"Guapimirim (RJ)";"18498";"17567";"771";"132";"27";"-";"1"
"MU";"3301876";"Iguaba Grande (RJ)";"10312";"9340";"580";"384";"7";"-";"1"
"MU";"3301900";"Itaboraí (RJ)";"86584";"72699";"8142";"5349";"280";"-";"114"
"MU";"3302007";"Itaguaí (RJ)";"42279";"38984";"2100";"1105";"78";"-";"12"
"MU";"3302056";"Italva (RJ)";"5598";"5470";"2";"125";"1";"-";"-"
"MU";"3302106";"Itaocara (RJ)";"9046";"8248";"26";"763";"9";"-";"-"
"MU";"3302205";"Itaperuna (RJ)";"38479";"33285";"360";"4784";"27";"-";"23"
"MU";"3302254";"Itatiaia (RJ)";"11374";"10772";"251";"291";"40";"-";"20"
"MU";"3302270";"Japeri (RJ)";"32110";"30323";"865";"869";"44";"-";"9"
"MU";"3302304";"Laje do Muriaé (RJ)";"2728";"2613";"-";"113";"-";"-";"2"
"MU";"3302403";"Macaé (RJ)";"92716";"69605";"3158";"19728";"193";"-";"32"
"MU";"3302452";"Macuco (RJ)";"1940";"1773";"9";"156";"2";"-";"-"
"MU";"3302502";"Magé (RJ)";"82906";"79613";"1998";"1184";"95";"-";"16"
"MU";"3302601";"Mangaratiba (RJ)";"15765";"13204";"1203";"1296";"56";"-";"6"
"MU";"3302700";"Maricá (RJ)";"73454";"61765";"6952";"4503";"131";"-";"103"
"MU";"3302809";"Mendes (RJ)";"6917";"6571";"125";"216";"5";"-";"-"
"MU";"3302858";"Mesquita (RJ)";"62611";"50177";"6126";"6107";"152";"-";"49"
"MU";"3302908";"Miguel Pereira (RJ)";"10250";"9561";"141";"548";"-";"-";"-"
"MU";"3303005";"Miracema (RJ)";"9601";"9220";"30";"343";"7";"-";"1"
"MU";"3303104";"Natividade (RJ)";"5691";"5528";"4";"155";"4";"-";"-"
"MU";"3303203";"Nilópolis (RJ)";"57005";"40770";"9083";"6935";"171";"-";"46"
"MU";"3303302";"Niterói (RJ)";"194492";"98477";"10115";"85480";"368";"-";"52"
"MU";"3303401";"Nova Friburgo (RJ)";"76597";"57943";"3135";"15370";"124";"-";"25"
"MU";"3303500";"Nova Iguaçu (RJ)";"287615";"245349";"13996";"27625";"585";"-";"60"
"MU";"3303609";"Paracambi (RJ)";"16107";"14725";"341";"1022";"13";"-";"6"
"MU";"3303708";"Paraíba do Sul (RJ)";"15203";"13862";"57";"1268";"16";"-";"-"
"MU";"3303807";"Paraty (RJ)";"16138";"14339";"1463";"142";"169";"-";"25"
"MU";"3303856";"Paty do Alferes (RJ)";"10881";"10554";"50";"273";"4";"-";"-"
"MU";"3303906";"Petrópolis (RJ)";"108238";"87842";"3307";"17020";"48";"-";"21"
"MU";"3303955";"Pinheiral (RJ)";"8814";"8396";"47";"370";"1";"-";"-"
"MU";"3304003";"Piraí (RJ)";"10089";"9510";"242";"330";"6";"-";"1"
"MU";"3304102";"Porciúncula (RJ)";"6421";"6294";"2";"117";"8";"-";"-"
"MU";"3304110";"Porto Real (RJ)";"7187";"6842";"48";"291";"6";"-";"-"
"MU";"3304128";"Quatis (RJ)";"5035";"4844";"40";"139";"11";"-";"1"
"MU";"3304144";"Queimados (RJ)";"51217";"46486";"1411";"3294";"19";"-";"7"
"MU";"3304151";"Quissamã (RJ)";"8099";"7809";"111";"169";"9";"-";"1"
"MU";"3304201";"Resende (RJ)";"48207";"37986";"2046";"8102";"65";"-";"8"
"MU";"3304300";"Rio Bonito (RJ)";"21187";"19529";"622";"995";"36";"-";"5"
"MU";"3304409";"Rio Claro (RJ)";"6415";"6234";"28";"152";"-";"-";"1"
"MU";"3304508";"Rio das Flores (RJ)";"3122";"3012";"22";"87";"-";"-";"1"
"MU";"3304524";"Rio das Ostras (RJ)";"59069";"45718";"4798";"8442";"56";"-";"55"
"MU";"3304557";"Rio de Janeiro (RJ)";"2436971";"1282864";"172196";"963002";"17860";"-";"1049"
"MU";"3304607";"Santa Maria Madalena (RJ)";"3989";"3863";"6";"114";"5";"-";"1"
"MU";"3304706";"Santo Antônio de Pádua (RJ)";"15817";"14561";"168";"1070";"14";"-";"4"
"MU";"3304755";"São Francisco de Itabapoana (RJ)";"17278";"17098";"90";"86";"2";"-";"2"
"MU";"3304805";"São Fidélis (RJ)";"14908";"13817";"155";"927";"5";"-";"4"
"MU";"3304904";"São Gonçalo (RJ)";"358103";"291934";"23127";"42361";"573";"-";"108"
"MU";"3305000";"São João da Barra (RJ)";"14464";"14283";"35";"145";"1";"-";"-"
"MU";"3305109";"São João de Meriti (RJ)";"168771";"142632";"18224";"7231";"636";"-";"48"
"MU";"3305133";"São José de Ubá (RJ)";"2682";"2497";"1";"181";"3";"-";"-"
"MU";"3305158";"São José do Vale do Rio Preto (RJ)";"8263";"7776";"51";"400";"19";"-";"17"
