"Tabela 6805 - Domicílios particulares permanentes ocupados, por tipo de esgotamento sanitário"
"Variável - Domicílios particulares permanentes ocupados (Unidades)"
"Nível";"Cód.";"Município";"Ano x Tipo de esgotamento sanitário"
"Nível";"Cód.";"Município";"2022"
"Nível";"Cód.";"Município";"Total";"Rede geral, rede pluvial ou fossa ligada à rede";"Rede geral ou pluvial";"Fossa séptica ou fossa filtro ligada à rede";"Fossa séptica ou fossa filtro não ligada à rede";"Fossa rudimentar ou buraco";"Vala";"Rio, lago, córrego ou mar";"Outra forma";"Não tinham banheiro nem sanitário"
"MU";"3300100";"Angra dos Reis (RJ)";"62126";"43791";"37524";"6267";"9134";"5123";"3253";"619";"191";"15"
"MU";"3300159";"Aperibé (RJ)";"4334";"3684";"3564";"120";"101";"214";"245";"86";"2";"2"
"MU";"3300209";"Araruama (RJ)";"48144";"15812";"7950";"7862";"28148";"2457";"940";"651";"130";"6"
"MU";"3300225";"Areal (RJ)";"4231";"1775";"1659";"116";"535";"369";"84";"1461";"7";"-"
"MU";"3300233";"Armação dos Búzios (RJ)";"14920";"4755";"3473";"1282";"8962";"987";"39";"42";"134";"1"
"MU";"3300258";"Arraial do Cabo (RJ)";"11542";"8011";"7521";"490";"3173";"189";"7";"77";"84";"1"
"MU";"3300308";"Barra do Piraí (RJ)";"34992";"27394";"22989";"4405";"1832";"495";"3139";"1987";"131";"14"
"MU";"3300407";"Barra Mansa (RJ)";"62890";"51607";"50542";"1065";"988";"381";"2982";"6721";"209";"2"
"MU";"3300456";"Belford Roxo (RJ)";"180893";"159388";"142963";"16425";"2824";"4382";"8654";"4036";"1586";"23"
"MU";"3300506";"Bom Jardim (RJ)";"10878";"4829";"4105";"724";"1892";"766";"62";"3303";"25";"1"
"MU";"3300605";"Bom Jesus do Itabapoana (RJ)";"13384";"10878";"10654";"224";"371";"433";"568";"1073";"58";"3"
"MU";"3300704";"Cabo Frio (RJ)";"82015";"50470";"32602";"17868";"27483";"3482";"201";"56";"306";"17"
"MU";"3300803";"Cachoeiras de Macacu (RJ)";"22265";"14783";"11169";"3614";"3245";"2485";"698";"987";"65";"2"
"MU";"3300902";"Cambuci (RJ)";"5799";"3201";"3003";"198";"329";"275";"344";"1446";"200";"4"
"MU";"3300936";"Carapebus (RJ)";"5034";"2988";"2612";"376";"858";"860";"227";"78";"22";"1"
"MU";"3300951";"Comendador Levy Gasparian (RJ)";"3015";"2261";"2036";"225";"78";"10";"52";"613";"1";"-"
"MU";"3301009";"Campos dos Goytacazes (RJ)";"175744";"113903";"109651";"4252";"22932";"34021";"2683";"1604";"538";"63"
"MU";"3301108";"Cantagalo (RJ)";"7289";"5544";"5191";"353";"695";"302";"259";"480";"9";"-"
"MU";"3301157";"Cardoso Moreira (RJ)";"4985";"2500";"2289";"211";"580";"728";"713";"418";"46";"-"
"MU";"3301207";"Carmo (RJ)";"6683";"5735";"5005";"730";"194";"199";"116";"427";"11";"1"
"MU";"3301306";"Casimiro de Abreu (RJ)";"16907";"11291";"6821";"4470";"4702";"515";"161";"206";"30";"2"
"MU";"3301405";"Conceição de Macabu (RJ)";"7901";"4884";"4731";"153";"376";"319";"2144";"161";"16";"1"
"MU";"3301504";"Cordeiro (RJ)";"7959";"6851";"6412";"439";"380";"82";"220";"417";"8";"1"
"MU";"3301603";"Duas Barras (RJ)";"4151";"1430";"1055";"375";"313";"438";"57";"1907";"6";"-"
"MU";"3301702";"Duque de Caxias (RJ)";"298064";"266058";"221345";"44713";"7241";"6355";"9592";"7926";"761";"131"
"MU";"3301801";"Engenheiro Paulo de Frontin (RJ)";"4791";"2168";"1480";"688";"345";"351";"921";"983";"21";"2"
"MU";"3301850";"Guapimirim (RJ)";"18498";"10479";"7001";"3478";"4984";"1192";"1285";"436";"120";"2"
"MU";"3301876";"Iguaba Grande (RJ)";"10312";"5408";"1872";"3536";"4208";"117";"80";"336";"162";"1"
"MU";"3301900";"Itaboraí (RJ)";"86584";"57138";"33452";"23686";"12019";"6029";"8211";"2343";"806";"38"
"MU";"3302007";"Itaguaí (RJ)";"42279";"35074";"30079";"4995";"1676";"1248";"2240";"1182";"855";"4"
"MU";"3302056";"Italva (RJ)";"5598";"4592";"4520";"72";"259";"310";"201";"199";"36";"1"
"MU";"3302106";"Itaocara (RJ)";"9046";"6664";"6405";"259";"538";"535";"654";"610";"41";"4"
"MU";"3302205";"Itaperuna (RJ)";"38479";"34947";"34518";"429";"782";"645";"894";"904";"297";"10"
"MU";"3302254";"Itatiaia (RJ)";"11374";"7921";"7004";"917";"2152";"862";"142";"260";"36";"1"
